     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   37    0   91.89  64.86    34      24          37    0 0 0 0
     2   29    0   96.55  62.07    28      18          29    0 0 0 0
     3   33    0   81.82  51.52    27      17          33    0 0 0 0
     4   27    0   92.59  81.48    25      22          27    0 0 0 0
     5   21    0   90.48  90.48    19      19          21    0 0 0 0
     6   30    0   93.33  66.67    28      20          30    0 0 0 0
     7   39    0   79.49  58.97    31      23          39    0 0 0 0
     8   12    0   75.00  50.00     9       6          12    0 0 0 0
     9    8    0   87.50  62.50     7       5           8    0 0 0 0
    10   24    0  100.00  91.67    24      22          24    0 0 0 0
    11   37    0   91.89  78.38    34      29          37    0 0 0 0
    12   33    0   90.91  75.76    30      25          33    0 0 0 0
    13   10    0   90.00  60.00     9       6          10    0 0 0 0
    14   39    0   82.05  69.23    32      27          39    0 0 0 0
    15   23    0   86.96  65.22    20      15          23    0 0 0 0
    16   40    0   85.00  70.00    34      28          40    0 0 0 0
    17   30    0   73.33  70.00    22      21          30    0 0 0 0
    18   17    0   70.59  64.71    12      11          17    0 0 0 0
    19   13    0  100.00  69.23    13       9          13    0 0 0 0
    20   25    0   68.00  52.00    17      13          25    0 0 0 0
    21   19    0   94.74  84.21    18      16          19    0 0 0 0
    22   26    0   92.31  92.31    24      24          26    0 0 0 0
    23   37    0   86.49  78.38    32      29          37    0 0 0 0
    24   35    0   91.43  88.57    32      31          35    0 0 0 0
    25   29    0   72.41  68.97    21      20          29    0 0 0 0
    26   15    0   73.33  73.33    11      11          15    0 0 0 0
    27   23    0   95.65  78.26    22      18          23    0 0 0 0
    28   15    0   80.00  80.00    12      12          15    0 0 0 0
    29   19    0   94.74  89.47    18      17          19    0 0 0 0
    30   14    0   71.43  50.00    10       7          14    0 0 0 0
    31   21    0  100.00  90.48    21      19          21    0 0 0 0
    32   14    0  100.00 100.00    14      14          14    0 0 0 0
    33   17    0  100.00  82.35    17      14          17    0 0 0 0
    34   29    0   58.62  51.72    17      15          29    0 0 0 0
    35   14    0  100.00 100.00    14      14          14    0 0 0 0
    36   23    0   82.61  69.57    19      16          23    0 0 0 0
    37   18    0   83.33  66.67    15      12          18    0 0 0 0
    38   14    0   64.29  50.00     9       7          14    0 0 0 0
    39   41    0   82.93  68.29    34      28          41    0 0 0 0
    40   12    0  100.00  91.67    12      11          12    0 0 0 0
    41   37    0   83.78  64.86    31      24          37    0 0 0 0
    42   28    0   85.71  82.14    24      23          28    0 0 0 0
    43   37    0   86.49  81.08    32      30          37    0 0 0 0
    44   30    0   80.00  66.67    24      20          30    0 0 0 0
    45   29    0   86.21  72.41    25      21          29    0 0 0 0
    46   12    0  100.00 100.00    12      12          12    0 0 0 0
    47   28    0   89.29  85.71    25      24          28    0 0 0 0
    48   21    0   80.95  76.19    17      16          21    0 0 0 0
    49   40    0   95.00  85.00    38      34          40    0 0 0 0
    50   42    0   83.33  76.19    35      32          42    0 0 0 0
    51   30    0   90.00  80.00    27      24          30    0 0 0 0
    52    9    0  100.00 100.00     9       9           9    0 0 0 0
    53   14    0   92.86  85.71    13      12          14    0 0 0 0
    54    8    0  100.00  87.50     8       7           8    0 0 0 0
    55   10    0  100.00  90.00    10       9          10    0 0 0 0
    56   43    0   76.74  65.12    33      28          43    0 0 0 0
    57    9    0  100.00  88.89     9       8           9    0 0 0 0
    58   15    0   93.33  80.00    14      12          15    0 0 0 0
    59   47    0   82.98  76.60    39      36          47    0 0 0 0
    60   20    0   90.00  85.00    18      17          20    0 0 0 0
    61   23    0   86.96  73.91    20      17          23    0 0 0 0
    62   47    0   72.34  72.34    34      34          47    0 0 0 0
    63   38    0   92.11  84.21    35      32          38    0 0 0 0
    64   25    0   88.00  84.00    22      21          25    0 0 0 0
    65   35    0   77.14  74.29    27      26          35    0 0 0 0
    66   14    0   92.86  92.86    13      13          14    0 0 0 0
    67   13    0  100.00  92.31    13      12          13    0 0 0 0
    68    6    0   50.00  50.00     3       3           6    0 0 0 0
    69   25    0   96.00  88.00    24      22          25    0 0 0 0
    70   17    0   94.12  76.47    16      13          17    0 0 0 0
    71   29    0   86.21  58.62    25      17          29    0 0 0 0
    72   34    0   76.47  73.53    26      25          34    0 0 0 0
