     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   24    0   75.00  66.67    18      16          24    0 0 0 0
     2   18    0   77.78  77.78    14      14          18    0 0 0 0
     3   29    0   86.21  75.86    25      22          29    0 0 0 0
     4   16    0   81.25  75.00    13      12          16    0 0 0 0
     5   49    0   79.59  77.55    39      38          49    0 0 0 0
     6   50    0   92.00  88.00    46      44          50    0 0 0 0
     7   48    0   89.58  83.33    43      40          48    0 0 0 0
     8   43    0   79.07  79.07    34      34          43    0 0 0 0
     9   35    0   82.86  82.86    29      29          35    0 0 0 0
    10   52    0   75.00  75.00    39      39          52    0 0 0 0
    11   43    0   74.42  72.09    32      31          43    0 0 0 0
    12   32    0   93.75  87.50    30      28          32    0 0 0 0
    13   32    0   78.12  71.88    25      23          32    0 0 0 0
    14   45    0   84.44  80.00    38      36          45    0 0 0 0
    15   31    0   80.65  77.42    25      24          31    0 0 0 0
    16   50    0   76.00  72.00    38      36          50    0 0 0 0
    17   46    0   91.30  84.78    42      39          46    0 0 0 0
    18   55    0   78.18  74.55    43      41          55    0 0 0 0
    19   43    0   86.05  79.07    37      34          43    0 0 0 0
    20   25    0  100.00 100.00    25      25          25    0 0 0 0
    21   41    0   85.37  82.93    35      34          41    0 0 0 0
    22   25    0   92.00  84.00    23      21          25    0 0 0 0
    23   46    0   73.91  73.91    34      34          46    0 0 0 0
    24   27    0   92.59  88.89    25      24          27    0 0 0 0
    25   31    0   87.10  83.87    27      26          31    0 0 0 0
    26   26    0   92.31  88.46    24      23          26    0 0 0 0
    27   40    0   75.00  72.50    30      29          40    0 0 0 0
    28   76    0   77.63  77.63    59      59          76    0 0 0 0
    29   72    0   75.00  72.22    54      52          72    0 0 0 0
    30   49    0   83.67  79.59    41      39          49    0 0 0 0
    31   53    0   79.25  75.47    42      40          53    0 0 0 0
    32   37    0   91.89  83.78    34      31          37    0 0 0 0
    33   38    0   89.47  89.47    34      34          38    0 0 0 0
    34   56    0   78.57  76.79    44      43          56    0 0 0 0
    35   44    0   90.91  88.64    40      39          44    0 0 0 0
    36   46    0   95.65  93.48    44      43          46    0 0 0 0
    37   32    0   84.38  81.25    27      26          32    0 0 0 0
    38   15    0  100.00 100.00    15      15          15    0 0 0 0
    39   23    0   95.65  82.61    22      19          23    0 0 0 0
    40   65    0   89.23  86.15    58      56          65    0 0 0 0
    41   44    0   75.00  75.00    33      33          44    0 0 0 0
    42   33    0   78.79  75.76    26      25          33    0 0 0 0
    43   54    0   75.93  72.22    41      39          54    0 0 0 0
    44   49    0   85.71  83.67    42      41          49    0 0 0 0
    45   29    0   89.66  89.66    26      26          29    0 0 0 0
    46   62    0   77.42  72.58    48      45          62    0 0 0 0
    47    9    0  100.00 100.00     9       9           9    0 0 0 0
    48   37    0   81.08  81.08    30      30          37    0 0 0 0
    49   25    0   88.00  80.00    22      20          25    0 0 0 0
    50   31    0   58.06  54.84    18      17          31    0 0 0 0
    51    6    0  100.00 100.00     6       6           6    0 0 0 0
    52    4    0  100.00 100.00     4       4           4    0 0 0 0
    53   69    0   81.16  78.26    56      54          69    0 0 0 0
    54   45    0   75.56  73.33    34      33          45    0 0 0 0
    55   22    0   86.36  81.82    19      18          22    0 0 0 0
    56   73    0   84.93  75.34    62      55          73    0 0 0 0
    57   14    0   92.86  85.71    13      12          14    0 0 0 0
    58   14    0  100.00  92.86    14      13          14    0 0 0 0
    59   31    0   80.65  74.19    25      23          31    0 0 0 0
    60   37    0   94.59  91.89    35      34          37    0 0 0 0
    61   58    0   82.76  77.59    48      45          58    0 0 0 0
    62   18    0   94.44  77.78    17      14          18    0 0 0 0
    63   22    0   95.45  90.91    21      20          22    0 0 0 0
    64   25    0   76.00  72.00    19      18          25    0 0 0 0
    65    8    0  100.00 100.00     8       8           8    0 0 0 0
    66   48    0   66.67  60.42    32      29          48    0 0 0 0
    67   48    0   83.33  79.17    40      38          48    0 0 0 0
    68   23    0  100.00 100.00    23      23          23    0 0 0 0
    69   34    0   64.71  52.94    22      18          34    0 0 0 0
    70   36    0   83.33  80.56    30      29          36    0 0 0 0
    71   32    0   90.62  78.12    29      25          32    0 0 0 0
    72    6    0   66.67  66.67     4       4           6    0 0 0 0
    73   57    0   61.40  59.65    35      34          57    0 0 0 0
    74   21    0   85.71  71.43    18      15          21    0 0 0 0
    75   16    0   62.50  62.50    10      10          16    0 0 0 0
    76    5    0  100.00 100.00     5       5           5    0 0 0 0
    77   11    0   81.82  81.82     9       9          11    0 0 0 0
    78   28    0   89.29  82.14    25      23          28    0 0 0 0
    79    6    0   66.67  66.67     4       4           6    0 0 0 0
    80   45    0   57.78  51.11    26      23          45    0 0 0 0
    81   38    0   78.95  71.05    30      27          38    0 0 0 0
    82    8    0  100.00 100.00     8       8           8    0 0 0 0
    83   27    0   66.67  66.67    18      18          27    0 0 0 0
    84   50    0   66.00  64.00    33      32          50    0 0 0 0
    85   33    0   81.82  78.79    27      26          33    0 0 0 0
    86   35    0   68.57  65.71    24      23          35    0 0 0 0
    87   25    0   84.00  76.00    21      19          25    0 0 0 0
    88   20    0   95.00  90.00    19      18          20    0 0 0 0
    89   20    0   75.00  75.00    15      15          20    0 0 0 0
    90   39    0   79.49  76.92    31      30          39    0 0 0 0
    91    9    0   33.33  33.33     3       3           9    0 0 0 0
    92    5    0  100.00  80.00     5       4           5    0 0 0 0
    93    5    0  100.00 100.00     5       5           5    0 0 0 0
    94    8    0  100.00  87.50     8       7           8    0 0 0 0
    95   19    0   89.47  78.95    17      15          19    0 0 0 0
    96   16    0   68.75  56.25    11       9          16    0 0 0 0
    97   15    0   93.33  93.33    14      14          15    0 0 0 0
    98   17    0   88.24  88.24    15      15          17    0 0 0 0
    99   16    0   75.00  75.00    12      12          16    0 0 0 0
   100   22    0   95.45  86.36    21      19          22    0 0 0 0
   101    9    0  100.00  77.78     9       7           9    0 0 0 0
   102    8    0  100.00  87.50     8       7           8    0 0 0 0
   103   15    0   73.33  66.67    11      10          15    0 0 0 0
   104   10    0  100.00  90.00    10       9          10    0 0 0 0
   105   21    0   90.48  85.71    19      18          21    0 0 0 0
   106    5    0  100.00 100.00     5       5           5    0 0 0 0
   107   19    0   94.74  94.74    18      18          19    0 0 0 0
   108   22    0   54.55  54.55    12      12          22    0 0 0 0
   109   31    0   74.19  70.97    23      22          31    0 0 0 0
   110   49    0   67.35  65.31    33      32          49    0 0 0 0
   111   21    0   61.90  57.14    13      12          21    0 0 0 0
   112   50    0   82.00  76.00    41      38          50    0 0 0 0
   113   45    0   80.00  77.78    36      35          45    0 0 0 0
   114   21    0   85.71  80.95    18      17          21    0 0 0 0
   115   41    0   80.49  70.73    33      29          41    0 0 0 0
   116   17    0  100.00  94.12    17      16          17    0 0 0 0
   117   37    0   70.27  64.86    26      24          37    0 0 0 0
   118    7    0   42.86  42.86     3       3           7    0 0 0 0
   119   15    0   93.33  86.67    14      13          15    0 0 0 0
   120   54    0   77.78  75.93    42      41          54    0 0 0 0
